CRI_YM,TAG,BD_HD,DAY,TIME,SEX,AGE,NUM,TIME2
202105,golf,business_day,B.TUE,D.14-18,M,B.3O,120,10
202005,hobby,holiday,G.SUN,B.06-10,F,B.3O,144,38
202005,fashion,holiday,E.FRI,B.06-10,M,E.60,44,26
201905,grocery,holiday,A.MON,F.22-02,F,E.60,76,6
201905,pet,business_day,B.TUE,D.14-18,F,A.2O,342,10
201905,sports,business_day,A.MON,B.06-10,F,D.5O,47,2
201905,car,holiday,F.SAT,F.22-02,M,D.5O,63,36
202005,interior,business_day,C.WED,A.02-06,F,D.5O,134,13
202105,hobby,holiday,G.SUN,B.06-10,M,C.4O,329,38
202105,baby,business_day,C.WED,D.14-18,F,B.3O,1561,16
201905,interior,business_day,C.WED,A.02-06,F,A.2O,139,13
201905,home_appliance,business_day,B.TUE,D.14-18,M,D.5O,712,10
201905,baby,holiday,A.MON,A.02-06,F,A.2O,21,1
201905,home_appliance,business_day,A.MON,C.10-14,M,E.60,409,3
202005,home_shopping,business_day,B.TUE,A.02-06,F,E.60,790,7
202105,pet,holiday,C.WED,A.02-06,F,B.3O,52,13
202105,pet,business_day,E.FRI,F.22-02,F,C.4O,501,30
202105,baby,holiday,G.SUN,A.02-06,M,C.4O,83,37
202005,daily_office,holiday,B.TUE,C.10-14,M,C.4O,1114,9
202105,grocery,holiday,G.SUN,F.22-02,F,B.3O,9755,42
202105,pet,holiday,F.SAT,B.06-10,F,E.60,54,32
202105,fashion,holiday,F.SAT,D.14-18,M,A.2O,2532,34
202105,interior,holiday,C.WED,D.14-18,M,C.4O,875,16
201905,baby,business_day,D.THU,F.22-02,F,E.60,48,24
202105,pet,business_day,B.TUE,A.02-06,F,E.60,10,7
202105,hobby,holiday,C.WED,F.22-02,F,C.4O,254,18
202105,interior,business_day,D.THU,E.18-22,F,B.3O,1958,23
202005,car,business_day,A.MON,D.14-18,F,B.3O,304,4
